epoch accuracy precision recall F1-score       0       1       2       3       4       0       1       2       3       4       0       1       2       3       4
   40   73.200    72.987 73.200   72.240  68.493  97.959  73.913  60.465  64.103 100.000  96.000  68.000  52.000  50.000  81.301  96.970  70.833  55.914  56.180
   41   74.000    74.424 74.000   72.971  93.878  96.154  63.636  66.667  51.786  92.000 100.000  84.000  36.000  58.000  92.929  98.039  72.414  46.753  54.717
   42   76.000    77.539 76.000   74.587  80.328  98.039  70.588  81.818  56.923  98.000 100.000  72.000  36.000  74.000  88.288  99.010  71.287  50.000  64.348
   43   74.400    74.191 74.400   74.036  90.566 100.000  65.574  60.465  54.348  96.000  94.000  80.000  52.000  50.000  93.204  96.907  72.072  55.914  52.083
   44   74.000    73.948 74.000   73.762  87.273  97.959  70.732  53.061  60.714  96.000  96.000  58.000  52.000  68.000  91.429  96.970  63.736  52.525  64.151
   45   76.400    76.400 76.400   75.696  90.566  97.959  64.062  66.667  62.745  96.000  96.000  82.000  44.000  64.000  93.204  96.970  71.930  53.012  63.366
   46   74.400    76.091 74.400   74.358  97.917 100.000  58.571  64.706  59.259  94.000  88.000  82.000  44.000  64.000  95.918  93.617  68.333  52.381  61.538
   47   75.600    75.381 75.600   74.628  84.211  97.959  68.421  66.667  59.649  96.000  96.000  78.000  40.000  68.000  89.720  96.970  72.897  50.000  63.551
   48   76.400    77.731 76.400   76.817  97.872 100.000  75.610  55.172  60.000  92.000  98.000  62.000  64.000  66.000  94.845  98.990  68.132  59.259  62.857
   49   76.000    78.671 76.000   75.500  97.959  97.959  66.667  76.923  53.846  96.000  96.000  64.000  40.000  84.000  96.970  96.970  65.306  52.632  65.625
   50   72.000    73.809 72.000   71.807  87.500 100.000  74.194  52.941  54.412  98.000  88.000  46.000  54.000  74.000  92.453  93.617  56.790  53.465  62.712
   51   74.000    73.358 74.000   72.807  83.333  96.154  71.429  52.542  63.333 100.000 100.000  70.000  62.000  38.000  90.909  98.039  70.707  56.881  47.500
   52   73.600    74.482 73.600   73.188  85.965 100.000  74.194  55.357  56.897  98.000  96.000  46.000  62.000  66.000  91.589  97.959  56.790  58.491  61.111
   53   73.600    73.342 73.600   73.366  84.211 100.000  70.000  60.417  52.083  96.000  94.000  70.000  58.000  50.000  89.720  96.907  70.000  59.184  51.020
   54   75.600    75.859 75.600   75.496  88.889 100.000  71.429  55.932  63.043  96.000  98.000  60.000  66.000  58.000  92.308  98.990  65.217  60.550  60.417
   55   73.200    72.672 73.200   72.805  84.483 100.000  69.565  56.250  53.061  98.000  98.000  64.000  54.000  52.000  90.741  98.990  66.667  55.102  52.525
   56   79.600    79.363 79.600   79.453  90.566 100.000  75.000  64.583  66.667  96.000 100.000  72.000  62.000  68.000  93.204 100.000  73.469  63.265  67.327
   57   70.000    69.935 70.000   68.898  81.356 100.000  64.000  50.746  53.571  96.000  92.000  64.000  68.000  30.000  88.073  95.833  64.000  58.120  38.462
   58   78.400    79.379 78.400   78.003  94.231 100.000  72.222  74.194  56.250  98.000  98.000  78.000  46.000  72.000  96.078  98.990  75.000  56.790  63.158
   59   78.000    78.272 78.000   78.100  96.000 100.000  71.154  63.830  60.377  96.000  96.000  74.000  60.000  64.000  96.000  97.959  72.549  61.856  62.136
   60   78.800    78.745 78.800   78.578  92.308 100.000  68.421  68.293  64.706  96.000  98.000  78.000  56.000  66.000  94.118  98.990  72.897  61.538  65.347
   61   80.400    81.157 80.400   80.189  98.039 100.000  74.138  74.286  59.322 100.000  94.000  86.000  52.000  70.000  99.010  96.907  79.630  61.176  64.220
   62   75.200    75.019 75.200   74.988  89.091  97.959  70.455  58.333  59.259  98.000  96.000  62.000  56.000  64.000  93.333  96.970  65.957  57.143  61.538
   63   76.400    77.283 76.400   75.928  96.078 100.000  64.179  68.750  57.407  98.000  92.000  86.000  44.000  62.000  97.030  95.833  73.504  53.659  59.615
   64   76.000    78.489 76.000   75.651  80.328 100.000  87.879  69.444  54.795  98.000  94.000  58.000  50.000  80.000  88.288  96.907  69.880  58.140  65.041
   65   74.400    73.310 74.400   72.659  81.967 100.000  67.241  57.692  59.649 100.000  96.000  78.000  30.000  68.000  90.090  97.959  72.222  39.474  63.551
   66   77.200    77.010 77.200   76.299  84.746 100.000  75.000  65.625  59.677 100.000  98.000  72.000  42.000  74.000  91.743  98.990  73.469  51.220  66.071
   67   79.200    81.320 79.200   79.636  96.078 100.000  88.889  56.250  65.385  98.000  94.000  64.000  72.000  68.000  97.030  96.907  74.419  63.158  66.667
   68   78.000    78.485 78.000   77.776  96.078 100.000  64.615  69.231  62.500  98.000  94.000  84.000  54.000  60.000  97.030  96.907  73.043  60.674  61.224
   69   78.800    79.895 78.800   78.635  92.453 100.000  79.487  66.667  60.870  98.000  94.000  62.000  56.000  84.000  95.146  96.907  69.663  60.870  70.588
   70   78.000    78.495 78.000   77.887  85.965 100.000  79.070  67.442  60.000  98.000  94.000  68.000  58.000  72.000  91.589  96.907  73.118  62.366  65.455
   71   76.800    76.849 76.800   76.536  90.741 100.000  73.469  55.932  64.103  98.000  98.000  72.000  66.000  50.000  94.231  98.990  72.727  60.550  56.180
   72   80.800    80.918 80.800   80.506  94.340 100.000  77.083  69.231  63.934 100.000  98.000  74.000  54.000  78.000  97.087  98.990  75.510  60.674  70.270
   73   77.200    77.475 77.200   77.174  95.918 100.000  66.667  59.574  65.217  94.000  96.000  80.000  56.000  60.000  94.949  97.959  72.727  57.732  62.500
   74   76.400    76.246 76.400   75.733  79.365  97.872  75.510  66.667  61.818 100.000  92.000  74.000  48.000  68.000  88.496  94.845  74.747  55.814  64.762
   75   76.000    76.213 76.000   75.872  90.741 100.000  71.429  59.574  59.322  98.000  96.000  60.000  56.000  70.000  94.231  97.959  65.217  57.732  64.220
   76   78.800    79.272 78.800   78.167  92.453 100.000  67.213  74.194  62.500  98.000  98.000  82.000  46.000  70.000  95.146  98.990  73.874  56.790  66.038
   77   78.000    77.838 78.000   77.592  89.091 100.000  70.690  66.667  62.745  98.000  94.000  82.000  52.000  64.000  93.333  96.907  75.926  58.427  63.366
   78   78.400    79.273 78.400   78.739  97.959 100.000  80.000  57.692  60.714  96.000  96.000  72.000  60.000  68.000  96.970  97.959  75.789  58.824  64.151
   79   81.600    82.553 81.600   81.604  90.741 100.000  85.714  73.810  62.500  98.000  96.000  72.000  62.000  80.000  94.231  97.959  78.261  67.391  70.175
   80   78.400    78.374 78.400   78.117  86.207 100.000  83.333  58.696  63.636 100.000  98.000  70.000  54.000  70.000  92.593  98.990  76.087  56.250  66.667
   81   80.000    80.034 80.000   79.951  90.741 100.000  83.333  62.264  63.830  98.000  96.000  80.000  66.000  60.000  94.231  97.959  81.633  64.078  61.856
   82   81.600    81.961 81.600   81.422  90.909 100.000  86.667  68.293  63.934 100.000  96.000  78.000  56.000  78.000  95.238  97.959  82.105  61.538  70.270
   83   79.600    80.275 79.600   79.739  90.909 100.000  86.047  60.784  63.636 100.000  92.000  74.000  62.000  70.000  95.238  95.833  79.570  61.386  66.667
   84   82.000    82.733 82.000   81.997  92.453 100.000  86.364  69.767  65.079  98.000  94.000  76.000  60.000  82.000  95.146  96.907  80.851  64.516  72.566
   85   83.200    84.095 83.200   83.095  96.078 100.000  80.392  78.378  65.625  98.000  94.000  82.000  58.000  84.000  97.030  96.907  81.188  66.667  73.684
   86   78.000    78.665 78.000   77.959  84.483  97.872  84.615  61.538  64.815  98.000  92.000  66.000  64.000  70.000  90.741  94.845  74.157  62.745  67.308
   87   78.400    78.434 78.400   78.167  84.746 100.000  84.091  62.222  61.111 100.000  96.000  74.000  56.000  66.000  91.743  97.959  78.723  58.947  63.462
   88   80.800    80.455 80.800   80.525  87.719 100.000  81.250  65.957  67.347 100.000  98.000  78.000  62.000  66.000  93.458  98.990  79.592  63.918  66.667
   89   81.600    81.502 81.600   81.497  94.340 100.000  80.392  67.391  65.385 100.000  96.000  82.000  62.000  68.000  97.087  97.959  81.188  64.583  66.667
   90   78.000    78.507 78.000   77.962  86.207 100.000  85.366  58.000  62.963 100.000  94.000  70.000  58.000  68.000  92.593  96.907  76.923  58.000  65.385
   91   81.200    81.488 81.200   80.948  92.453 100.000  80.000  71.053  63.934  98.000  96.000  80.000  54.000  78.000  95.146  97.959  80.000  61.364  70.270
   92   81.600    81.417 81.600   81.368  92.453 100.000  80.769  69.048  64.815  98.000  98.000  84.000  58.000  70.000  95.146  98.990  82.353  63.043  67.308
   93   80.800    80.684 80.800   80.582  87.719 100.000  84.444  65.217  66.038 100.000  98.000  76.000  60.000  70.000  93.458  98.990  80.000  62.500  67.961
   94   79.600    79.667 79.600   79.511  90.909 100.000  84.091  59.184  64.151 100.000  98.000  74.000  58.000  68.000  95.238  98.990  78.723  58.586  66.019
   95   77.600    78.050 77.600   77.592  90.741 100.000  78.571  57.143  63.793  98.000  94.000  66.000  56.000  74.000  94.231  96.907  71.739  56.566  68.519
   96   80.000    79.983 80.000   79.793  89.286 100.000  82.222  65.909  62.500 100.000  98.000  74.000  58.000  70.000  94.340  98.990  77.895  61.702  66.038
   97   80.400    80.341 80.400   80.061  89.091 100.000  79.592  69.231  63.793  98.000  98.000  78.000  54.000  74.000  93.333  98.990  78.788  60.674  68.519
   98   80.000    79.846 80.000   79.759  89.286 100.000  80.851  63.636  65.455 100.000  96.000  76.000  56.000  72.000  94.340  97.959  78.351  59.574  68.571
   99   80.400    80.161 80.400   80.110  89.091 100.000  79.592  66.667  65.455  98.000  98.000  78.000  56.000  72.000  93.333  98.990  78.788  60.870  68.571
  100   80.000    80.161 80.000   79.829  89.286 100.000  82.609  65.116  63.793 100.000  94.000  76.000  56.000  74.000  94.340  96.907  79.167  60.215  68.519
